"word","definition"
"Daboka"," ft. : Enti-milaza : Fianjerana. 1 Fitsorana mivalampatra. / Halavoana. • Fiaiken-keloka na fibabohana. 1 Famelezana, fanatontana. - t.i.f. : Dabohana na dabofana, adaboka, voadaboka, tafadaboka ( manadaboka na mandaboka, fandaboka, mpandaboka ) anadabohana, fanadabohana( midaboka,fidaboka, mpidaboka (idabohana, fidabohana ( mahadaboka)dabodaboka.
 Ahitsio"
"Daboka"," p.t. : Vaventy sy matavy (teny tsy mba fampiasa manokana fa misy fanampiny mandrakariva, dia izay hi-ta amin'ny hoe : dabo-dela, dabo-drano, dabokandro).
 Ahitsio"
"Dabokandro"," a. : Enti-milaza ny fiompiana omby atondraka, izany hoe asaina miraoka amin'ny tany be ahitra any an'efitra sy eny amin'ny andro fotsiny eny, ka matavy sy tonga vaventy (daboka). -  F.-p. : Mpanao dabokandro : mpampiraoka omby any an'efitra, mpivarotra omby.
 Ahitsio"
"Dabolera"," (fr. doublure) a : Sosony na saikiny zairina ao anatin'ny akanjo na ny satroka mba hampahateza ny eo ivelany ary hahatsara azy sa-tria manenjana sy manatevina azy : Daboleran-tsatroka.
 Ahitsio"
"Dada"," a. : Fiantsoana na filazana ny ray niteraka : Tsy hisaraka aminao aho, ry dada. / Nankaiza dry i dada izay? / H.i. : Teny entina manaja ny lehilahy be taona, tokotokony ho rain'ny tena: Hialoha lalana anao aho,ry dada, fa aza fady.
 Ahitsio"
"Dada"," a. : Dihy tsinjaka mitsamboamboatra arahin'ny amponga, izay fanaon'ny lehilahy ihany : *0hab. : Ny tsinjaka maro mpahay fa ny dada no sarotra ianarana.
 Ahitsio"
"Dadabe"," a. : Fiantsoana ny rain'ny ray na ny rain'ny reny : Andeha ho aiza ianao, ry dadabe ? ¶ M.h. : Kakibe, fa azo ampiasaina koa hilazana tsotra ny rain'ny ray na ny rain'ny reny ; raibe : La-sa any an-tsena i dadaben'i Soa. . Teny fanajana ilazana lehilahy efa zokiolona tokony hanana zafikely.
 Ahitsio"
"Dadaboka"," a : Fianjerana amin'ny tany, fahapotrahana tanteraka. - t.i.f. : Adadaboka, voadadaboka f midadaboka,fidadaboka / idadabohana, fidadabohana. Ny hevitr'ireo dia mitovy amin'ny sampantenin'ny Daboka ihany.
 Ahitsio"
"Dadadada"," a. : Firadaradana na fitenenana miahotrahotra fanaon'ny ankizy vao mianamiteny. - t.i.f. : Midadadada, fidadadada, mpidadadada ( idadadadana, fidadadadana.
 Ahitsio"
"Dadafara"," a. : Teny iantsoana na ilazana ny faralahy amin' ny iray tam-po amin'ny ray na ny reny : Andeha hitsena an'i dadafara izahay fa ho tonga anio izy.
 Ahitsio"
"Dadaka"," a. : Teny mikorontana sy misafotofoto noho ny fahamaikana hilaza zavatra ; kodedika. 1 t, i f. : Midadaka, fidadaka, mpidadaka ( idadahana, fidadahana.
 Ahitsio"
"Dadanaivo"," a. : Teny iantsoana na ilazana lehilahy iray tampo amin'ny ray na ny reny, eo anelanelan'ny lahimatoa sy ny faralahy : Aoka re, ry dadanaiuo, fa tapaka ny tsinaiko amin'ny hatsikana ataonao.
 Ahitsio"
"Dadasika"," p.t. : Toerana na faritra lehibe sy malalaka. - t.i.f. : Midadasika, fidadasika.
 Ahitsio"
"Dadatoa"," a : Teny iantsoana na ilazana ny lahimatoa amin'ny iray tam-po amin'ny ray na ny reny : Lasa androany nankany andafy ny dadatoanay. 1 H.i. : Teny iantsoana (fa tsy ilazana) lehilahy lehibe heverina ho mendri-kaja : Aoka re, ry dadatoa, fa marina ny teninao.
 Ahitsio"
"Dadiampela"," (Ski) a : Renibe.
 Ahitsio"
"Dadibe"," (Tsm.) a : Renin'ny renibe.
 Ahitsio"
"Dadilahy"," (Ski na Tsm) a : Dadabe, raibe.
 Ahitsio"
"Dadivavy"," (fit.-p.) a : Renibe.
 Ahitsio"
"Dady"," (Ski) a : Raibe na renibe.
 Ahitsio"
"Dafo"," na Dafy (Tsm) a : Omby misy pentina lehibe eo amin' ny takibany (dafo mainty, dafo mavo, dafo mena, dafo tombolôho).
 Ahitsio"
"Dagaga"," a : Fahavarianana amin'ny fahitana zavatra tsy ~ mbola hita, mahagaga.
 Ahitsio"
"Dahalo"," a. : Jirika mpanao tontakely. ¶ M.h.: Malaso.
 Ahitsio"
"Daholo"," (angl. the whoie) p. mt. : Rehetra tsy misy avahana : Nihoraka daholo ny mpianatra. (Marihina fa sady mamaritra ny matoanteny ny daholo no mifandray amin'ny teny lazaina : Nihinana paiso daholo ny mpianatra ; Nohanin'ny mpianatra daholo ny paiso. Araka izany dia mitovy hevitra amin'ny rehetra ihany izy saingy ny rehetra mpamaritra anarana ka atao manaraka ny anarana mandrakariva, ary izany koa matetika no mahatonga ny olona hampiasa azy roa miaraka : Nihinana Paiso daholo ny mpianatra rehetra; nohanin'ny mpianatra daholo ny palso rehetra).
 Ahitsio"
"Daholobe"," a. : Fitambaran'ny olona rehetra : Foto-kevi-pifandraiso ny olona teto hatry ny e	tsy vaovao ako  ry ny hoe : Ny tsirairay na tao ho an'ny daholobe ary ny daholobe ho an'ny tsirairay, fototry ny fihavanana.
 Ahitsio"
"Dahy"," o. : Anaram-piangotiana iantsoan'ny vehivavy ny anadahiny : Aoka re, ry dahy, fa mahatsikaiky loatra ify zavatra tantarainao.
 Ahitsio"
"Daika"," Daikadaika a. : Fandeha misabakabaka na mibekabeka ka mivelatra sy tsy mitsatoka mahitsy tsara ny tongotra roa, toy ny fanaon'ny zazakely vao miana-mandeha. - t.i.f. : Midaika, midaikadaika, fidaika, mpidaika / idaikana,fidaikana.
 Ahitsio"
"Daina"," a. : Famelezana amin'ny kapoka; fandabohana mafy. t.i.f. : Dainana / mandaina, fandaina, mpandaina, andainana, fandainana / mahadaina / daindaina.
 Ahitsio"
"Dainana"," (daina) mt. ih. (daino) : Kapohina, dabohana mafy, havokavohana : Daino ny vy dieny mafana.
 Ahitsio"
"Daindaina"," a. : Ilazana ny hafanan'ny masoandro manevokevoka, midanika mafy. * A-nambarana ny feon-javatra izay mikarantsana mampangintsina ny sofina. 1 t. f. : Midaindaina, fidaindaina / idaindainana, fidaindainana.
 Ahitsio"
"Daingidaingy"," Jaingijaingy a. : Ilazana ny fandehan'ny zaza vao miana-mandeha ka mivembena toa mila hianjera. - t.i.f. : Midaingidaingy, fidaingidaingy) voadaingidaingy f idaingidaingena, fidaingidaingena.
 Ahitsio"
"Daka"," a. : Famelezana amin'ny tongotra, tsipaka : Nasian'ny soavaly daka indray mande-ha izy dia tsy tafarina. ? Tohana : Asivy dakany ny lohatrano fa lava loatra. - t.i.f. : Dakana, adaka, voadaka / mandaka, fandaka, mpandaka f andakana, fandakana / mahadaka / dakadaka. a F,-p. : Voa roa ohatra ny dakam-boriky : tongotra roa no indray mamely any aoriana ka raha voany voa mafy mihitsy; voa indroa miantoana. ¶ M,h, : Daka, dakabe, diamanga, antsatoka, kapatokana, ambadika, kopala manatrika, antongomby, ankoatra, ankodina.
 Ahitsio"
"Dakana"," (daka) Asiana ny daka : Nodakany indray mandeha monja ny baolina dia tafiditra tao anaty tsatokazo.
 Ahitsio"
"Dalaboboka"," a. : Fianjerana mafy ka ny vatana manontolo no indray miantonta.l Fianjera andrenesana feo midoboka na mitora-jofo amin' ny vovoka. - t.i.f. : Adalaboboka/ midalaboboka, fidalabo boka, mpidalaboboka I idalabobohana, fidalabobohana.
 Ahitsio"
"Dalia"," a. : Karazam-boninkazo.
 Ahitsio"
"Dalo"," (Ski) a. : Loaka amin'ny sisin'ny botry natao ho fandehanan'ny rano.
 Ahitsio"
"Dalo"," (t. tr.) p. t. : Fohy, zeny.
 Ahitsio"
"Dalompy","(fr, varlope) a. : Vankona lehibe misy tahony kely itazonana azy.
 Ahitsio"
"Damà"," a. : Karazan-damba.
 Ahitsio"
"Dama"," a : Karazam-panoto be loba fitotoana tany mba hifatratra tsara.
 Ahitsio"
"Dama","(fr. damier) a : Kilalaontsaina misy efitrefitra zato, mainty sy fotsy mifandimbindimby; ny vato dia voalahatra amin'ny laharan'efitrefitra roa farany, amin'ny andaniny sy an-kilany, ka mandroso izy ireo amin'ny laharan'efitrefitra tsy misy vato, ary dia mifampihinana amin' izay; ny an'ny dama, ihoarana no fihinana ny vato fa tsy tahaka ny an'ny fanorona izay aroso amin'ny toerana iray banga ka lany daholo ny vaton'ny ankilany amin'ny hitsin'ny tsipika nandrosoana azy; izay tapitra aloha ny vâto no resy toy ny amin'ny fanoronaihany.
 Ahitsio"
"Damadama"," (Ski) a. : Vatolampy na tany tsy misy zavamaniry eny amoron-dranomasina izay voasafotry ny rano rehefa misondrotra ny ranomasina ary miseho kosa rehefa mihemotra ny ranomasina.
 Ahitsio"
"Damiaana"," (fr. dame-jeanne) a : Karazana tavoahangy makadiry, kely tenda ary be kibo, fasiana divay.
 Ahitsio"
"Damongy"," (Ski) o. : Tsirin-tsatrana.
 Ahitsio"
"Danadana"," ft. : Enti-milaza toetran'ny zavatra, toy ny varavarana, izay mivoha na misokatra tsara. - t.i.f. : Danadanaina, adanadana, voadanadana, tafadanadana I manadanadana / anadanadanana, fanadanadanana / midanadana, fidanadana, mpidanadana / idanadanana, fidanadanana, mahadanadana.
 Ahitsio"
"Danadanaina"," (danadana) m t. ih. (danadanao) : Avala hidanadana, hisokatra na hivoha malalaka tsara.
 Ahitsio"
"Dananaka"," a. sy p.t. : Olona tsY manana eritreritra, tsy mana-na ahiahy, mitsilam odam o-ka, ary mova tsy ny adaladala, dondrona. - t.i.f. : Midananaka,fidananaka, mpidananaka / idananahana, fidananahana.
 Ahitsio"
"Danesaka"," a. : Fandeha tsY miraidraika, tsy rototra. 1 Fihetsika tsy maka sarotra. • Famindran'ireo matavy izay mamindra miadana sy miresaresa. - t.i.f. : Midanesaka, fidanesaka, mpidanesaka / idanesahana,fidanesahana.
 Ahitsio"
"Danga"," (Ski) a. : Enti-milaza ny volon'ny alika fotsy vozona : Danga mainty : maintY fotsy vozona. / Danga mena : mena fotsy vozona. / Danga mavo : mavo fotsy vozona.
 Ahitsio"
"Dangana"," ft. : Enti-milaza fisondrotana avo, fahatongavana amin'ny toerana ambony amin'ny tendrony. - t.i.f. : Adangana / manadangana, fanadangana, mpanadangana I anadanganana, fanadanganana f midangana, fidangana, mpidangana f idanganana, fidanganana, mahadangana.
 Ahitsio"
"Dangea"," (Ski) a. : Voan-tsatrana efa maniry mihamalemy ny nofony ary azo hanina.
 Ahitsio"
"Dangory"," (Ski) a. : Taolan'ny voan-tsatrana rehefa lany ny nofony eo ivelany.
 Ahitsio"
"Dangy"," p. t. : Maty eo no ho eo, maty tampotampoka, maty tsy tra-drano, mitsitra eo no ho eo. ¶ M.h. : Jingy, jihitra. ~ H.i. : Enti-milaza ny olona lokin'ny hehy na mihomehy mafy, nefa amin'io hevitra io dia miampy ny teny hoe hehy izy : Dangin'ny hehy.
 Ahitsio"
"Danidany"," a. : Diridiry„fahafenoana izay mahatonga ho henjana, enti-milaza indrindra ny kibo feno rivotra na voky ioatra, na ny amponga tsara henjana koa ka midoboka er?. - t.i.f. : Midanidany, fidanidany / idanidaniana, fidanidaniana.
 Ahitsio"
"Danihina"," (danika) mt.ih. (daniho) : May, voadoro, asian' ny herin'ny hafanana : Danihin'ny andro aho eto fa aoka hihisakisaka any ho any.
 Ahitsio"
"Danika"," a. : Famelin'ny herin' ny hainandro; hafanana avy amin'ny hainandro. - t.i.f. : Danihina,voadanika / midanika, fidanika, mpidanika f idanihana, fidanihana / mahadanika / danidanika.
 Ahitsio"
"Danise"," (fr. danse) a. : Dihy vahiny nentin'ny Vazaha, mitovy amin'ny hoe bal, izay iarahan'ny lehilahy sy ny vehivavy misonenika amin'ny feo-mozika, ka mifanatrika ary mifampisakambina izy amin'izany.
 Ahitsio"
"Danoka"," Danona a. : Fandeha miangoty sy miaingitra ampisehoana fahamboniana na enti-milaza amin'ny hafa fa miadana sy sambatra. - t.i.f. : Midanoka,fidanoka, mpidanoka I idanohana, fidanohana.
 Ahitsio"
"Dantelina"," (fr. dentelle) a : Rary kofehy madinika mitarehin-tranon-kala fanao hain-)gon'akanjo.
 Ahitsio"
"Danty"," a, : Jer. Dantelina.
 Ahitsio"
"Dany"," a. : Sitraka, izay tiana, fanaranana amin'ny sitrapo (tsy fampiasa raha tsy amin' ilay fombam-Pitenenana hoe : Danin 'ny kibo: sitraky ny fo : Efa tsy eo ambany mason-drainy intsony izy ka manao ny danin'nY kibony).
 Ahitsio"
"Dao"," a. : Feon-javatra miantonta amin-javatra, na feon-kapoka midoboka : Miasa amin'olona tsy mifaditrovana : manao, dao; tsy manao, dao !
 Ahitsio"
"Daomy"," (fr, domino) a : Karazan-kilalao misy vato valo amby roapolo misy masony; zaraina mitovy isa amin'ny mpilalao telo ny iraika amby roapolo amin'ireo vato ireo, ka mifandimby mandahatra ny azy raha misy vato miady masony amin'izay mivoaka ny mpilalao; izay mahalany vato any aminy voalohany no mahazo amin'ny indray mihodina, ka dia isaina ho azy ny masom-baton' ireo sisa tsy mbola nahalany ny azy.
 Ahitsio"
"Daondaona"," a. : Feo midobodoboka amin'ny zavatra velezina na mikodiadia. 1 H.o. : Teny alefalefa fotsiny, tsy voahevitra, matetika mampiseho avonavona sy fanambaniana ny hafa. - t.i.f. : Midaondaona, fidaondaona, mpidaondaona / idaondaonana, fidaondaonana / mahadaondaona.
 Ahitsio"
"Darà"," a : Karazan-damba tsara tenons.
 Ahitsio"
"Daraboka"," o. : Fahapotrahana na fianierana mafy, - t.i.f. : Adaraboka, voadaraboka, tafadaraboka / manadaraboka, mpanadaraboka I anadarabohana, fanadarabohana / midaxaboka, fidaraboka, mpidaraboka / idarabohana, fidarabohana f mahadaraboka.
 Ahitsio"
"Dararaka"," p.t. : Enti-milaza olona mipetrapetra-poana malai-mihetsika ary toa adaladala varimbariam-poana ka raraka hatramin'ny iviny. - t.i.f. : Midaraxaka, fidararaka, mpidararaka f idararahana, fidararahana.
 Ahitsio"
"Darazay"," (fr. dragée) a. : Vatomamy, zava-mamy voavoatra ho boribory kely omena ho an'ny ankizy indrindra.
 Ahitsio"
"Daresaka"," p. t. : Jer. Danesaka.
 Ahitsio"
"Daridary"," a : Diridiry, fibontsinana sy fahahenjanana. - t.i.f.: Midaridaxy, fidaridary.
 Ahitsio"
"Daro"," a. Teny ilazana amin'ny fitenim-paritany maro ny hoditr'omby maina.
 Ahitsio"
"Daröba"," (Tsm) a. : Onjan-dranomasina mahery.
 Ahitsio"
"Daroboka"," a : Fianjerana anaty rano na fianjerana re midoboka. - t.i.f. : Adaroboka, voadaroboka, tafadaroboka I manadaroboka, fanadaroboka, mpanadaroboka / anadarobohana, fanadarobohana I midaroboka, fidaroboka, mpidaraboka I idarobohana, fidarobohana I mahadaroboka.
 Ahitsio"
"Darodarony"," p.t. : Varivarin'ny toaka, mamomamo.
 Ahitsio"
"Darofana"," na Darohana (daroka) mt.ih. (darofy na darohy) : Kapohina, velezina, tontana.
 Ahitsio"
"Daroka"," a. : Vono amin'ny kapoka; vely, tonta. - t.i.f. Darofana na darohana,adaroka,voadaroka/ mandaroka, fandaroka, mpandaroka / andarohana, fandarohana / mahadaroka.
 Ahitsio"
"Darona"," a, : Famindra na fitenenana miadana sy toa tsy miraidraika, tsy rototra. - t.i.f. Adarona I midarona, fidarona, mpidarona / idaronana, fidaronana / mahadarona.
 Ahitsio"
"Darondarona"," a. : Avonavona miharo hatezerana eo amin' ny fitenenana. ¶ M.h, : Fidaondaom-bava, avom-bava, heto-bava, taim-bava. - t.i.f. : Midarondarona / fidarondarona / mahadarondarona.
 Ahitsio"
"Darondarony"," a. : Tanora dongadonga, dofodofotra.
 Ahitsio"
"Daroroka"," a. : Fianjerana mafy mitalakotrokotroka. - t.i.f. : Midaxoroka, fidaroroka.
 Ahitsio"
"Dasidasy"," a. : Fandeha sy famindra milamina sy mihaminkamina, ka tsy mirotoroto no sady maotina. - t.i.f. : Adasidasy, tafadasidasy / midasidasy, fidasidasy.
 Ahitsio"
"Debadeba"," p.t. : Fohifohy sady bebe tarehy ary somary lesoka : Debadeba izay ny tarehin-dRamasabomanga.
 Ahitsio"
"Debaka"," (Tsm) : Zavatra atao antoka apetraka amin'ny tompon-trosa.
 Ahitsio"
"Debodebo"," p.t. : Fohy fonetana sady vaventy.
 Ahitsio"
"Deboka"," a. : Feon'ny rano voakapoky ny tanana na zavatra hafa. - t.i.f. : Mideboka, fideboka.
 Ahitsio"
"Deboka"," p.t. : Ilazana ny toerana iva sy lemademaka voahodidin'ny havoana na tendrombohitra. -  F.-p.: An-deboka : Amin' ny toerana ivaiva takon-drivotra : Toa tsy hahasalama it? tandna it? izany fa an-deboka loatra.
 Ahitsio"
"Dedadeda"," a. : Enti-milaza : Firehetam-ben'ny afo. • Fisamboaravoaram - paniriana tsy hay fefena. - t.i.f. : Adedadeda, tafadedadeda / midedadeda, fidedadeda, mpidedadeda i idedadedana, fidedadedana.
 Ahitsio"
"Dedaka"," p.t. : Enti-milaza olona te hiseho mahay na te hoderaina, na dia amin'ny zavatra tsy fantany na tsy hainy akory aza; kevoka; be haiejoana : Dedaka er? ilay sakaiza nanao tsy an-kitana tamin'ny bisikileta. - t.i.f. : Midedaka, fidedaka, mpidedaka /idedahana,fidedahana,
 Ahitsio"
"Dega"," (Ski) a. : Hazo atao solon-tohatra iakarana amin'ny hazo avo.
 Ahitsio"
"Deha"," na Dehadeha a : Fandeha misababaka, misoka-pe. 1 t.i.f. : Midehadeha,fidehadeha / idehadehana, fidehadehana.
 Ahitsio"
"Deha"," Dehana, Dehandehana ft. : Enti-milaza fandeha somary mibehambehana sy miletaleta. - t.i.f. : Midehandehana, fidehandehana, mpidehandehana / idehandehanana, fidehandehanana.
 Ahitsio"
"Dekà"," (fr. aide-de-camp)a : Lefitra ambany amin'ny laharam-boninahitra. ? Miaramila na manamboninahitra lefitra, atokana ho mpanampY sy ho fanirakiraky ny manamboninahitra ambony. -  F,-p, : Dekà madinika : manamboninahitra ambany laharana manampy amin'ny raharahan'ny Praiminisitra (taloha). lDekà isan-drainy : dekàn'ny manamboninahitra maromaro, samy andraisana vitsivitsy avy hampanaovina ny raharaha iaraha-miandraikitra.
 Ahitsio"
"Deke"," (Ski) a : Famavanin'ny tanam-poza.
 Ahitsio"
"Dekona"," a : Jer. Diakona.
 Ahitsio"
"Demba"," Dembana a. : Banga Misy dembana amin'ny tamboho. • Lempona, lesoka Dembana ny ilan'ny vota uifotsy. (t Kepaka, miditra kely, mikemo : Demba-molotra ny antibavy. - t.i.f. : Dembaina na Dembanina, voademba I manademba, fanademba, mpanademba / anadembana, fanadembana / mahadembal dembademba.
 Ahitsio"
"Demony"," (fr. démon) a. : Fanahy ratsy, izay atao koa hoe devoly. (Araka ny fampianarana katolika, ny demony dia ireo anjely niodina tamin'Andriamanitra ka mikely aina lalandava hitarika ny olombelona ho amin'ny ratsy mba hamarina azy any amin'ny afobe miaraka aminy). • H.i. : Olona ratsy fanahy mitarika ny sasany ho amin'ny ratsy.
 Ahitsio"
"Denaka"," a. : Amponga kely kilalaon'ankizy vita amin'ny fômba tsotra dia tsotra.
 Ahitsio"
"Dera"," o. : Voninahitra, laza Dera ho an'Andriamanitra lalandaua - t.i.f. : Deraina, voadera / midera, fidera, mpidera / iderana, fiderana / mahadera I deradera.
 Ahitsio"
"Deradera"," a. : Fampisehoan-javatra amin'ny hafa hahazoana doka mba hieboana sy hireharehana : Tia deradera aoka izany iny touolahy iny. i t.i,f. : Aderadera / manade-radera, fanaderadera, mpanaderadera / anaderaderana, fanaderaderana / mideradera, fideradera, mpideradera / mahaderadera.
 Ahitsio"
"Deraina"," (dera) mt.ih. (derao) : Ankalazaina, omena voninahitra : Rariny raha derain'ny uahoaka ireo nanao manda tehezana niaro ny tanindrazana.
 Ahitsio"
"Deronderona"," a. : Hadedahana misy fireharehana amin'ny teny lazaina mahatonga handoka tena sy hiedinedina foana. - t.i.f. : Mideronderona, fideronderona, mpideronderona / ideronderonana, fideronderonana.
 Ahitsio"
"Deronina"," a : Faritra ambony amin'ny traotraokam-biby. -  p.t. : Be tretroka, misy fivontosana eo amin'ny traotraokany : Ondry deronina.
 Ahitsio"
"Desambra"," (fr. décembre) a : Anaran'nY volana faharoa ambin'ny folo amin'nY tao-na, misy andro 31.
Azo soratana ihany koa hoe ""Desambira""
 Ahitsio"
"Devoly"," (angl. devil) a. : Jer. Demony.
 Ahitsio"
"Deza"," ft. : Enti-milaza fiakarana miainga avo saika mahitsy. - t.i.f. : Dezaina, voadeza, tafadeza / mideza, fideza, mpideza / fidezana, idezana.
 Ahitsio"
"Dezaina"," (deza) mt. ih. (dezao) : Atao mijoro mitsatoka.
 Ahitsio"
"Di"," la p. t. : Tafadify, takona ary nifandiso tsy nifankahita, tafahoatra, lasa : Dila ny amin' ny efatra, tsy hitanao eto intsony aho.
 Ahitsio"
"Dia"," p.mt. : Atao anelanelan' ny teny miverina indroa mba ho fanamafisan-kevitra : Soa dia soa, • ppt.: Mitovy amin' ny sy na ary : Nitsangana izy dia niteny. • Kian-teny fampiasa : a) Mba hampitohy fehezan-kevitra roa raha lasa aloha ilay fehezan-kevitra miankina : Nony tonga izy dia niteny hoe.., b) mba hampitohy indraindray ny teny enti-milaza amin'ny teny lazaina : Rakoto dia mpianatra mazoto.
 Ahitsio"
"Dia"," p.t. : Enti-milaza : Olona mivelona any anaty ala na any an'efitra ka tsY mahalala ny fomban'ny olona mandroso : Mbola misy olona dia, hono, amin'it? faritany US'? • Biby na zavamaniry tsy ompiana na ambolena fa velona na maniriniry ho azy fotsiny eny : Mahafinaritra ahy it? voninkazo dia / Tonga dia ilay sakanay.
 Ahitsio"
"Dia"," a. : Ny halavan'ny felatongotra : Lava dia ny lehilahy noho ny uehivauy. 1 Halavan-drefy miantomboka amin'ny voditongotra ka miafara ery amin'nY loharantsana (irain-jehy sy voatondro roa na ampahatelon'ny metatra eo ho eo) : Telo dia ny halauan'it9 hazo fisaka • Fandeha ataon'ny olona na ny biby amin'ny fampifandimbiasana ny tongotra roa mifanongontsongona hatrany : Hafaingano ny dianao fa diso fotoana isika. • Fandehahana, fivahiniana : Dia la-vitra izay nataonay androany izay. • Soritra navelan-javanandalo : Misy diam-pihogo ny uolony. • Andiana, antokon'olona na bibY miaramandeha : Nozaraina natao telo dia ny miaramila. - t.i.f. : Diavina, voadiadia / mandia, fandia, mpandia / andiavana, fandiavana. -  F.-p. : Diam-panorona : sary misy tsipika mifanapatapaka tahaka ny sora-panorona 1 Dia tsy manina : fandehan'nyolona tsy mananjavatra hovonjena fa milaika dia milaika. / Iray dia marenina : enti-milaza olona na biby marobe miaraka. / Ma    dia dia be : mandeha miaraka maro l Manao dia mianotra. / Manao dia miverina : mamindrafindra ny tongotra saingy tsy mandroso fa mihemotra, mandroso miaoriana. / Manary dia : manao izay tsy hieritreretana zavatra iray manahirana na manorisory ny sain. / Manisa dia : mandeha miadana dia miadana. / Manoha-dia : mitady hitovy amin'ny..., maninana. / Miara-dia: mandeha miaraka maro. / Miasa dia: mande-ha mandroso sy miverina. / Mitsongo dia: manaraka amim-pahakingana sy faharetana ny nalehan'ny olon-dratsy iray. / Sokoin'ny dia: enti-milaza zaza adalan-dia, ta hanaraka izay olona rehetra mivoaka ny trano. / Sola manararlia: enti-milaza an'ohatra ireo olo-mahantra zokiolona izay tsy mitarika fa ataon'ny olona mpanaraka manjohizohy avy aoriana fotsiny. / Vary dia: tsy mifantoka amin'ny zavatra iray manahirana na manorisory intsony ny saina amana eritreritra.
 Ahitsio"
"Diabeta"," (fr. diabète) a: Aretina azo fantarina amin'ny fivoahan'ny siramamy amin' ny fivalanan-drano, fa ny mahatonga azy kosa dia avy amin'ny sarakaty tsy afaka mandevona ny siramamy rehetra amin'ny sakafo ka la-sa mivoaka amin'ny fivalanandrano ireo siramamy tsy levona.
 Ahitsio"
"Diadema"," (fr, diadème) a. : Satroboninahitry ny mpanjaka, mariky ny fiandrianana. ? Haingom-behivavy toy ny fehiloha. ¶ M,h, : Drakadraka.
 Ahitsio"
